Project Name,Project URL,URL From Prompt,Number of Prompts,Last Edited,Created Date,Is Private,Hide Badge
co-sales,https://lovable.dev/projects/54fb1beb-838d-4060-9fb4-0afe4376fac4,http://www.cosalesrep.com,1,N/A,,Failed,Failed
greenhammer-revive-design,https://lovable.dev/projects/ccecd9f3-8ba6-43ed-9a30-881f4a8e8dd1,http://www.greenhammer.com,1,N/A,,Failed,Failed
beltcreek-renaissance-site,https://lovable.dev/projects/114215e0-edb3-4a10-80ad-951f0ce78ceb,http://www.ranchesatbeltcreek.com,1,N/A,Error,Error,Error
apex-reimagine-project,https://lovable.dev/projects/8969be3e-9c09-4157-8b61-5c87bb801618,http://www.apexroofingusa.com,1,N/A,Error,Error,Error
envision-accountancy-refined,https://lovable.dev/projects/aa2e2d43-f2bd-45ff-8a7e-f6a640fa8f8b,http://www.bspcpa.com,1,N/A,Error,Error,Error
copeland-cook-reimagined-ux,https://lovable.dev/projects/c008c102-ffde-4b99-a1fd-ce081b44c9dc,http://www.copelandcook.com,1,N/A,Error,Error,Error
storage-reimagine-webflow,https://lovable.dev/projects/89fbcd65-45df-4d9d-aa33-6c96c64e1028,http://www.priceselfstorage.com,1,N/A,Error,Error,Error
cavu-reimagine-digital-bloom,https://lovable.dev/projects/02b24af8-6bbf-47b5-a57b-776b84c98c89,http://www.cavu-intl.com,1,N/A,Error,Error,Error
simonson-reimagined-build,https://lovable.dev/projects/3f766e7c-6748-45e0-8bc9-66f5a11914b5,http://www.simonsonconstruction.com,1,N/A,Error,Error,Error
construction-vision-craft,https://lovable.dev/projects/0e6f0044-4371-42fe-b25c-3dcf79fd00ee,http://www.jencoconstruction.com,1,N/A,Error,Error,Error
murphy-logistics-revive,https://lovable.dev/projects/d83ae60e-bc60-4488-be5e-69b87174558c,http://www.murphylogistics.com,1,N/A,2025-04-23 00:13:00,No,Yes
talent-zenith-website-revamp,https://lovable.dev/projects/af731cbd-a97f-406e-b3b6-d7b238746ab5,http://www.exponentialtalent.com,1,N/A,2025-04-23 00:15:37,No,Yes
west-architect-renewal,https://lovable.dev/projects/d75e433d-a902-482c-b4e6-925aea10c038,http://www.architectswest.com,1,N/A,2025-04-23 00:15:47,No,Yes
consult-refined-canvas,https://lovable.dev/projects/26c568fc-1f4c-46d8-b111-ff39d2aad5a8,http://www.managementconsulted.com,1,N/A,2025-04-23 00:13:06,No,Yes
westlgi-revamp-refined-flow,https://lovable.dev/projects/ea0915fe-f468-4057-b75a-c3df9223a897,http://www.westlgi.com,1,N/A,2025-04-22 22:21:28,No,Yes
